works,value,students,classWidth,classLength
1,8.222024171169119,14,20,28
1,5.812279716413142,14,20,28
1,3.6189048010121048,14,20,28
1,3.6189049890691853,14,20,28
1,5.294162128527233,14,20,28
1,3.618904932497503,15,20,28
1,4.226459788676779,15,20,28
1,3.6189044379637396,15,20,28
1,5.29416183745619,15,20,28
1,3.618904823998555,15,20,28
1,3.618904417155427,16,20,28
1,3.6189044328179785,16,20,28
1,3.618904719277814,16,20,28
1,3.6189047065504165,16,20,28
1,3.6189046104757288,16,20,28
1,3.6189046218626424,17,20,28
1,5.812279753412438,17,20,28
1,8.197181106243818,17,20,28
1,3.6189044921419073,17,20,28
1,3.6189049145211896,17,20,28
1,5.294161874993507,18,20,28
1,3.6189047245746004,18,20,28
1,3.646030049930642,18,20,28
1,3.6189051641744134,18,20,28
1,9.163745207738309,18,20,28
1,3.6189047841097235,19,20,28
1,5.294162121472559,19,20,28
1,4.226459429421719,19,20,28
1,4.226460325500488,19,20,28
1,5.29416242404909,19,20,28
1,3.618905816107503,5,20,29
1,3.6189044546223457,5,20,29
1,3.6189046711271935,5,20,29
1,3.6189047148756845,5,20,29
1,5.812279972354039,5,20,29
1,3.6189050137337255,6,20,29
1,3.618905325092981,6,20,29
1,5.294162150582619,6,20,29
1,5.294161817761809,6,20,29
1,3.618905195095587,6,20,29
1,3.6189045299516143,7,20,29
1,3.6189044903383905,7,20,29
1,5.294161885007692,7,20,29
1,4.226459270696152,7,20,29
1,3.6189049641321027,7,20,29
1,3.618904501721257,8,20,29
1,3.6189046019860416,8,20,29
1,3.6189047092029085,8,20,29
1,8.197180301725805,8,20,29
1,3.6189044357052866,8,20,29
1,3.618904683405687,9,20,29
1,3.618904708031273,9,20,29
1,3.618904815524457,9,20,29
1,3.61890469415425,9,20,29
1,3.618904719441925,9,20,29
1,3.6189178157373556,10,20,29
1,5.294161585259419,10,20,29
1,8.197180592619107,10,20,29
1,3.6189049261435065,10,20,29
1,3.6189046119965558,10,20,29
1,3.6189044442523874,11,20,29
1,3.6189050021209233,11,20,29
1,3.61890497521403,11,20,29
1,5.294161576555638,11,20,29
1,3.61890459149437,11,20,29
1,3.6189046878493887,12,20,29
1,3.64603034608006,12,20,29
1,4.226459347494373,12,20,29
1,3.6189046316416253,12,20,29
1,3.6189049835635587,12,20,29
1,3.6189047470063307,13,20,29
1,3.618905853388181,13,20,29
1,3.6189051879899474,13,20,29
1,8.222024612320643,13,20,29
1,3.6189047599627666,13,20,29
1,5.294161776624414,14,20,29
1,3.618904506973191,14,20,29
1,5.294161763179286,14,20,29
1,8.19718017426534,14,20,29
1,3.6189046464298427,14,20,29
1,3.6189046659752844,15,20,29
1,3.6189047380106696,15,20,29
1,5.294161844671535,15,20,29
1,3.618904805469534,15,20,29
1,3.6189053276012646,15,20,29
1,5.3154065696881565,16,20,29
1,3.618904637782663,16,20,29
1,5.294162108863125,16,20,29
1,5.294161830524868,16,20,29
1,3.618904943093661,16,20,29
1,3.6189049218140843,17,20,29
1,5.2941617981385924,17,20,29
1,3.6189049026729316,17,20,29
1,3.618904419320548,17,20,29
1,3.618904962199369,17,20,29
1,3.6189050509681997,18,20,29
1,5.81227969854739,18,20,29
1,3.6189051733201207,18,20,29
1,3.6189045773914366,18,20,29
1,3.618904881513155,18,20,29
1,3.618904501914318,19,20,29
1,5.29416178603634,19,20,29
1,5.294161748055757,19,20,29
1,3.6189044914270294,19,20,29
1,3.6189050012326227,19,20,29
1,3.618904549239105,5,20,30
1,5.294161863026425,5,20,30
1,5.812280035194322,5,20,30
1,3.618904748937954,5,20,30
1,3.6189045183402366,5,20,30
1,3.6189046973460384,6,20,30
1,3.618915847216169,6,20,30
1,4.226459301288047,6,20,30
1,3.618905125716044,6,20,30
1,3.618904517170404,6,20,30
1,3.6189047822946323,7,20,30
1,3.646030414089213,7,20,30
1,3.6189044625006113,7,20,30
1,3.6189054857641016,7,20,30
1,3.6189046094672848,7,20,30
1,4.226459762645934,8,20,30
1,5.294162213538792,8,20,30
1,8.1971805677845,8,20,30
1,3.6189046120252026,8,20,30
1,5.294161826426777,8,20,30
1,5.294161745000924,9,20,30
1,3.618905048087548,9,20,30
1,3.64603009339601,9,20,30
1,3.6189045694560464,9,20,30
1,5.812279686370328,9,20,30
1,3.618904514201049,10,20,30
1,3.618953296169273,10,20,30
1,3.6189045796094863,10,20,30
1,5.294161904525676,10,20,30
1,3.6189044916730873,10,20,30
1,3.618904440118274,11,20,30
1,9.16374506025941,11,20,30
1,14.216287723208291,11,20,30
1,5.294161984368771,11,20,30
1,3.6189052597947473,11,20,30
1,3.6189047030493073,12,20,30
1,3.6189046010288983,12,20,30
1,3.618907531165967,12,20,30
1,5.29416231524495,12,20,30
1,3.6189047255441453,12,20,30
1,3.618904846257532,13,20,30
1,5.294161520439448,13,20,30
1,3.618904734935476,13,20,30
1,5.812279886589155,13,20,30
1,3.6189045933851243,13,20,30
1,3.6189050190095715,14,20,30
1,4.2264600439973075,14,20,30
1,5.294161659689172,14,20,30
1,3.618905179528472,14,20,30
1,9.163745489168,14,20,30
1,3.6189050350519447,15,20,30
1,3.618904662278123,15,20,30
1,3.6189043963955316,15,20,30
